repo,lang,readme_lines,has_gitignore,has_ci,has_lockfile,nested_gitlinks,funding,security,deny_toml,src_exists
AgilePlus,Rust,MISSING,yes,yes,Cargo.lock,2,yes,yes,yes,yes
AppGen,Node,12_STUB,yes,yes,package-lock.json,none,yes,yes,no,no
Benchora,Rust,36,no,yes,Cargo.lock,none,yes,yes,yes,yes
hwLedger,Other,91,no,yes,no,none,yes,yes,no,no
localbase3,Other,176,no,yes,no,none,yes,yes,no,yes
PhenoCompose,Node,139,no,yes,no,none,yes,yes,no,no
PhenoProject,Other,41,no,yes,no,none,yes,yes,no,no
rich-cli-kit,Rust,126,no,yes,Cargo.lock,none,yes,yes,yes,no
thegent-dispatch,Rust,51,no,yes,Cargo.lock,none,yes,yes,yes,yes
agent-devops-setups,Node,183,yes,yes,package-lock.json,none,yes,yes,no,no
agent-user-status,Python,235,yes,yes,no,none,yes,yes,no,yes
agentapi-plusplus,Go,279,yes,yes,go.sum,none,yes,yes,no,no
AgentMCP,Other,27,yes,yes,no,none,yes,yes,no,no
Agentora,Rust,560,yes,yes,Cargo.lock,none,yes,yes,yes,yes
agileplus-landing,Node,51,yes,yes,bun.lock,none,yes,yes,no,yes
argis-extensions,Go,84,yes,yes,go.sum,none,yes,yes,no,no
AtomsBot,Node,202,yes,yes,package-lock.json,none,yes,yes,yes,yes
AuthKit,Python,48,yes,yes,no,4,yes,yes,no,no
bare-cua,Rust,310,yes,yes,Cargo.lock,none,yes,yes,yes,no
BytePort,Rust,707,yes,yes,package-lock.json,none,yes,yes,yes,no
byteport-landing,Node,233,yes,yes,bun.lock,none,yes,yes,no,yes
chatta,Node,207,yes,yes,package-lock.json,none,yes,yes,no,no
cheap-llm-mcp,Python,226,yes,yes,no,none,yes,yes,no,yes
Civis,Rust,120,yes,yes,bun.lock,none,yes,yes,yes,no
cliproxyapi-plusplus,Node,139,yes,yes,package-lock.json,none,yes,yes,no,no
Configra,Rust,135,yes,yes,Cargo.lock,none,yes,yes,yes,no
Conft,Other,117,yes,yes,no,1,yes,yes,no,no
DataKit,Other,84,yes,yes,no,6,yes,yes,no,no
DevHex,Go,285,yes,yes,go.sum,none,yes,yes,no,no
Dino,Other,20,yes,yes,no,none,yes,yes,no,no
dinoforge-packs,Other,40,yes,yes,no,none,yes,yes,no,no
DINOForge-UnityDoorstop,Other,149,yes,yes,no,none,yes,yes,no,yes
Eidolon,Rust,215,yes,yes,Cargo.lock,none,yes,yes,yes,no
eyetracker,Rust,135,yes,yes,Cargo.lock,none,yes,yes,yes,no
FocalPoint,Rust,167,yes,yes,Cargo.lock,1,yes,yes,yes,no
foqos-private,Other,248,yes,yes,no,none,yes,yes,no,no
forgecode,Rust,169,yes,yes,package-lock.json,none,yes,yes,yes,no
GDK,Rust,564,yes,yes,Cargo.lock,none,yes,yes,yes,yes
helios-cli,Rust,309,yes,yes,bun.lock,none,yes,yes,yes,yes
helios-router,Rust,215,yes,yes,Cargo.lock,none,yes,yes,yes,yes
heliosApp,Node,337,yes,yes,bun.lock,none,yes,yes,no,no
heliosBench,Node,72,yes,yes,no,none,yes,yes,no,yes
helioscope,Rust,328,yes,yes,Cargo.lock,none,yes,yes,yes,yes
HeliosLab,Rust,64,yes,yes,bun.lock,none,yes,yes,yes,yes
HexaKit,Rust,110,yes,yes,bun.lock,none,yes,yes,yes,yes
