repo,has_package_json,has_lockfile,has_node_modules,build_script,dev_script,framework,has_tsconfig,has_tailwind,env_example,src_dirs,file_count
BytePort/frontend/web,yes,package-lock.json;yarn.lock,yes,vite build,vite dev,svelte-vite,yes,yes,no,src,1533
.worktrees/cloud-docs,yes,pnpm-lock.yaml,no,next build,bash scripts/dev.sh,next,yes,no,yes,src,425
Planify/apps/web,yes,,no,react-router build,react-router dev --port 3000,next,yes,no,yes,app,369
Planify/packages/propel,yes,,no,tsdown,tsdown --watch,vite,yes,no,no,src,269
Planify/packages/ui,yes,,no,tsdown,tsdown --watch,,yes,no,no,src,84
Planify/apps/space,yes,,no,react-router build,react-router dev --port 3002,next,yes,no,yes,app;components,68
Planify/apps/admin,yes,,no,react-router build,react-router dev --port 3001,next,yes,no,yes,app;components,56
.worktrees/cloud-docs/storybook,yes,,no,,,next,yes,yes,no,src,45
.worktrees/cloud-docs/kilo-app,yes,,no,pnpx eas-cli build --profile development,,,yes,no,no,src,41
AgilePlus/.agileplus/plane,yes,pnpm-lock.yaml,no,turbo run build,turbo run dev --concurrency=18,,no,no,yes,,40
PhenoProject/rust/Planify,yes,pnpm-lock.yaml;bun.lock,yes,turbo run build,turbo run dev --concurrency=18,,no,no,yes,,40
Planify,yes,pnpm-lock.yaml;bun.lock,no,turbo run build,turbo run dev --concurrency=18,,no,no,yes,,40
AppGen,yes,package-lock.json,yes,,,,no,no,no,components,39
portage-wtrees/eval-suite/viewer,yes,bun.lock,no,react-router build,react-router dev,next,yes,no,no,app,34
portage-wtrees/journey-impl/viewer,yes,bun.lock,no,react-router build,react-router dev,next,yes,no,no,app,34
portage/viewer,yes,bun.lock,yes,react-router build,react-router dev,next,yes,no,no,app,34
localbase3-wtrees/sladge-badge/localbase-frontend,yes,package-lock.json,no,next build,next dev,next,yes,yes,no,app;components,32
localbase3-wtrees/wip-localbase3-provider-tests/localbase-frontend,yes,package-lock.json,no,next build,next dev,next,yes,yes,no,app;components,32
localbase3/localbase-frontend,yes,package-lock.json,yes,next build,next dev,next,yes,yes,no,app;components,32
QuadSGM/4sgm/frontend,yes,yarn.lock;bun.lock,yes,next build,next dev,next,yes,yes,yes,app;components,30
QuadSGM-wtrees/journey-impl/4sgm,yes,bun.lock,no,,sst dev,,no,no,yes,,28
QuadSGM-wtrees/lockfile-update/4sgm,yes,bun.lock,no,,sst dev,,no,no,yes,,28
QuadSGM-wtrees/manifest-fix-and-lockfile-2026-04-27/4sgm,yes,bun.lock,no,,sst dev,,no,no,yes,,28
QuadSGM/4sgm,yes,bun.lock,no,,sst dev,,no,no,yes,,28
phenodocs-scorecard-remediation,yes,bun.lock,no,vitepress build,vitepress dev,vue-vite,yes,no,yes,,22
phenodocs-wtrees/generated-temp-spec,yes,bun.lock,yes,vitepress build,vitepress dev,vue-vite,yes,no,yes,,22
phenodocs-wtrees/generated-temp-untrack,yes,bun.lock,yes,vitepress build,vitepress dev,vue-vite,yes,no,yes,,22
phenodocs-wtrees/journey-impl,yes,bun.lock,no,vitepress build,vitepress dev,vue-vite,yes,no,yes,,22
phenodocs-wtrees/wip-phenodocs-link-checker,yes,bun.lock,no,vitepress build,vitepress dev,vue-vite,yes,no,yes,,22
phenodocs,yes,bun.lock,yes,vitepress build,vitepress dev,vue-vite,yes,no,yes,,22
phenodocs-scorecard-remediation/packages/docs,yes,,no,,,vue,no,no,no,src,21
phenodocs/packages/docs,yes,,yes,,,vue,no,no,no,src,21
.worktrees/agentapi-plusplus-docs/chat,yes,,no,next build,next dev --turbopack,next,yes,no,no,src,19
agentapi-plusplus-wtrees/lockfile-update/chat,yes,bun.lock,no,next build,next dev --turbopack,next,yes,no,no,src,19
agentapi-plusplus-wtrees/main-clean-20260426/chat,yes,bun.lock,no,next build,next dev --turbopack,next,yes,no,no,src,19
agentapi-plusplus-wtrees/remove-vendor-tree/chat,yes,bun.lock,no,next build,next dev --turbopack,next,yes,no,no,src,19
agentapi-plusplus/agentapi-plusplus/chat,yes,package-lock.json;pnpm-lock.yaml;bun.lock,yes,next build,next dev --turbopack,next,yes,no,no,src,19
agentapi-plusplus/chat,yes,bun.lock,yes,next build,next dev --turbopack,next,yes,no,no,src,19
Tracera/frontend,yes,bun.lock,yes,turbo build --concurrency=8 --filter=!@tracertm/storybook,bun --cwd apps/web run dev,vite,yes,no,yes,,17
